Date,Open,High,Low,Close,Volume
05/04/2022,"42.14","43.57","41.58","43.34","139,876"
05/03/2022,"41.98","42.04","41.07","41.57","139,233"
05/02/2022,"43.05","44.05","41.32","42.15","140,140"
04/29/2022,"44.32","44.60","42.37","42.89","193,077"
04/28/2022,"49.63","49.63","44.36","44.87","283,798"
04/27/2022,"48.53","49.11","48.32","48.62","114,406"
04/26/2022,"49.44","50.42","48.31","48.48","80,430"
04/25/2022,"49.05","49.79","48.35","49.73","120,405"
04/22/2022,"52.02","52.07","49.41","49.59","262,606"
04/21/2022,"53.28","53.68","52.02","52.27","57,599"
04/20/2022,"53.44","53.95","52.71","52.99","82,334"
04/19/2022,"52.05","53.63","52.05","53.14","68,742"
04/18/2022,"51.80","52.65","51.62","52.21","53,127"
04/14/2022,"52.29","52.62","51.78","51.88","74,287"
04/13/2022,"51.49","52.21","51.02","52.00","76,689"
04/12/2022,"51.31","52.07","51.28","51.53","61,697"
04/11/2022,"51.46","51.63","50.83","50.88","49,866"
04/08/2022,"51.50","52.47","51.39","51.62","92,772"
04/07/2022,"51.09","52.00","50.85","51.61","68,660"
04/06/2022,"52.50","52.79","50.92","51.11","103,264"
04/05/2022,"52.25","53.17","52.00","52.62","111,949"
04/04/2022,"52.40","52.51","50.84","52.33","108,535"
